                                     | Core 0    
  Instructions                       |  300472861
  Cycles                             |  275729063
  IPC                                |       1.09
  Time (ns)                          |  103657543
  Idle time (ns)                     |      55247
  Idle time (%)                      |       0.1%
Branch predictor stats               |           
  num correct                        |   14638857
  num incorrect                      |      41860
  misprediction rate                 |      0.29%
  mpki                               |       0.14
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |   30388660
    num misses                       |         43
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |  116045703
    num misses                       |     282263
    miss rate                        |      0.24%
    mpki                             |       0.94
  L2 TLB                             |           
    num accesses                     |     282306
    num misses                       |      88457
    miss rate                        |     31.33%
    mpki                             |       0.29
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |   30388660
    num cache misses                 |      44238
    miss rate                        |      0.15%
    mpki                             |       0.15
  Cache L1-D                         |           
    num cache accesses               |  116045703
    num cache misses                 |   10256894
    miss rate                        |      8.84%
    mpki                             |      34.14
  Cache L2                           |           
    num cache accesses               |   10426171
    num cache misses                 |    9213069
    miss rate                        |     88.36%
    mpki                             |      30.66
  Cache L3                           |           
    num cache accesses               |    9338108
    num cache misses                 |    1484272
    miss rate                        |     15.89%
    mpki                             |       4.94
DRAM summary                         |           
  num dram accesses                  |    2694221
  average dram access latency (ns)   |      76.83
  average dram queueing delay        |      23.40
  average dram bandwidth utilization |     21.00%
Coherency Traffic                    |           
  num loads from dram                |    1125500
  num loads from dram cache          |          0
  num loads from remote cache        |          0
