CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.25       0.25       0.25       0.25
depend-int             0.11       0.11       0.11       0.11
depend-fp              0.22       0.21       0.22       0.22
depend-branch          0.10       0.10       0.10       0.10
branch                 0.82       0.83       0.83       0.83
mem-l1d                0.25       0.24       0.24       0.24
mem-l2                 0.04       0.03       0.04       0.05
mem-l3                 0.06       0.07       0.08       0.07
mem-dram               0.04       0.03       0.05       0.04
other                  0.03       0.03       0.03       0.03

total                  1.92       1.91       1.93       1.93
