CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.25       0.25       0.25       0.25
depend-int             0.11       0.12       0.11       0.11
depend-fp              0.14       0.14       0.14       0.14
depend-branch          0.07       0.08       0.07       0.07
issue                  0.00       0.02       0.00       0.00
issue-port2            0.02       0.00       0.02       0.02
branch                 0.55       0.57       0.54       0.55
mem-l1d                0.15       0.15       0.15       0.15
mem-l3                 0.03       0.02       0.02       0.03
sync-futex             0.06       0.11       0.06       0.06
other                  0.01       0.02       0.01       0.01

total                  1.40       1.46       1.38       1.40
