CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.25       0.25       0.25       0.25
depend-fp              0.01       0.01       0.01       0.01
issue-port015          0.02       0.02       0.02       0.02
branch                 0.01       0.01       0.01       0.01
mem-l1d                0.02       0.02       0.02       0.02
mem-l3                 0.02       0.02       0.03       0.02
sync-futex             0.03       0.07       0.05       0.05
other                  0.01       0.00       0.00       0.00

total                  0.37       0.41       0.39       0.39
