CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.25       0.25       0.25       0.25
depend-int             0.01       0.01       0.01       0.01
depend-fp              0.11       0.10       0.10       0.09
issue-port015          0.03       0.03       0.03       0.03
branch                 0.03       0.03       0.04       0.03
mem-l1d                0.02       0.02       0.02       0.02
mem-l3                 0.01       0.01       0.01       0.01
mem-dram               0.00       0.00       0.01       0.00
sync-futex             0.03       0.05       0.01       0.05
other                  0.01       0.01       0.01       0.01

total                  0.50       0.50       0.49       0.50
