CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.25       0.25       0.25       0.25
depend-int             0.07       0.07       0.07       0.07
depend-fp              0.08       0.09       0.08       0.09
depend-branch          0.03       0.03       0.03       0.03
issue-port2            0.03       0.03       0.03       0.03
branch                 0.19       0.18       0.18       0.18
mem-l1d                0.04       0.04       0.04       0.04
mem-l3                 0.02       0.02       0.02       0.02
sync-futex             0.04       0.02       0.02       0.04
other                  0.02       0.01       0.01       0.01

total                  0.76       0.73       0.73       0.76
