CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.25       0.25       0.25       0.25
depend-int             0.13       0.13       0.14       0.13
depend-fp              0.15       0.15       0.14       0.15
depend-branch          0.10       0.10       0.10       0.10
issue                  0.02       0.02       0.02       0.02
branch                 0.84       0.83       0.87       0.84
mem-l1d                0.21       0.21       0.21       0.21
mem-l3                 0.03       0.02       0.00       0.03
sync-futex             0.06       0.06       0.11       0.06
other                  0.01       0.01       0.03       0.01

total                  1.80       1.78       1.87       1.80
