CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.25       0.25       0.25       0.25
depend-int             0.01       0.00       0.00       0.00
depend-fp              0.04       0.04       0.04       0.05
issue-port0            0.01       0.01       0.01       0.01
issue-port1            0.01       0.00       0.00       0.00
issue-port2            0.01       0.01       0.02       0.02
branch                 0.03       0.03       0.03       0.04
ifetch                 0.00       0.00       0.01       0.00
mem-l1d                0.02       0.02       0.02       0.02
mem-l3                 0.03       0.02       0.03       0.03
mem-dram               0.07       0.08       0.08       0.07
sync-futex             0.00       0.01       0.00       0.01
other                  0.01       0.01       0.02       0.02

total                  0.49       0.50       0.51       0.51
