CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.25       0.25       0.25       0.25
depend-int             0.01       0.01       0.01       0.01
depend-fp              0.11       0.12       0.11       0.11
depend-branch          0.01       0.01       0.01       0.01
issue-port015          0.03       0.03       0.03       0.03
branch                 0.07       0.07       0.07       0.08
mem-l1d                0.03       0.03       0.03       0.03
mem-l3                 0.01       0.01       0.01       0.01
mem-dram               0.00       0.00       0.00       0.01
sync-futex             0.06       0.05       0.06       0.01
other                  0.01       0.01       0.01       0.01

total                  0.58       0.57       0.58       0.56
