                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |  162956427 |  172739719 |  166174986 |  167305058
  Cycles                             |   94175197 |   94175197 |   94175197 |   94175197
  IPC                                |       1.73 |       1.83 |       1.76 |       1.78
  Time (ns)                          |   35404210 |   35404210 |   35404210 |   35404210
  Idle time (ns)                     |    1108865 |      30801 |    1133820 |     388756
  Idle time (%)                      |       3.1% |       0.1% |       3.2% |       1.1%
Branch predictor stats               |            |            |            |           
  num correct                        |    6034571 |    9548666 |   12252843 |   10478170
  num incorrect                      |     559017 |     466624 |     448240 |     501979
  misprediction rate                 |      8.48% |      4.66% |      3.53% |      4.57%
  mpki                               |       3.43 |       2.70 |       2.70 |       3.00
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |   16357029 |   19780651 |   21725354 |   20497802
    num misses                       |         49 |         52 |         45 |         52
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |   58571324 |   60545508 |   59136836 |   57895718
    num misses                       |      20563 |      16964 |      17783 |      18750
    miss rate                        |      0.04% |      0.03% |      0.03% |      0.03%
    mpki                             |       0.13 |       0.10 |       0.11 |       0.11
  L2 TLB                             |            |            |            |           
    num accesses                     |      20612 |      17016 |      17828 |      18802
    num misses                       |       5764 |       4621 |       5743 |       6389
    miss rate                        |     27.96% |     27.16% |     32.21% |     33.98%
    mpki                             |       0.04 |       0.03 |       0.03 |       0.04
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |   16357029 |   19780651 |   21725354 |   20497802
    num cache misses                 |      21641 |      18121 |      17018 |      18157
    miss rate                        |      0.13% |      0.09% |      0.08% |      0.09%
    mpki                             |       0.13 |       0.10 |       0.10 |       0.11
  Cache L1-D                         |            |            |            |           
    num cache accesses               |   58571324 |   60545508 |   59136836 |   57895718
    num cache misses                 |     870819 |     765050 |     909812 |     860279
    miss rate                        |      1.49% |      1.26% |      1.54% |      1.49%
    mpki                             |       5.34 |       4.43 |       5.48 |       5.14
  Cache L2                           |            |            |            |           
    num cache accesses               |     947329 |     840445 |     988854 |     934455
    num cache misses                 |     381699 |     290889 |     348742 |     388667
    miss rate                        |     40.29% |     34.61% |     35.27% |     41.59%
    mpki                             |       2.34 |       1.68 |       2.10 |       2.32
  Cache L3                           |            |            |            |           
    num cache accesses               |     436634 |     348232 |     410812 |     444715
    num cache misses                 |     135154 |      87893 |     109680 |     141330
    miss rate                        |     30.95% |     25.24% |     26.70% |     31.78%
    mpki                             |       0.83 |       0.51 |       0.66 |       0.84
DRAM summary                         |            |            |            |           
  num dram accesses                  |     868552 |          0 |          0 |          0
  average dram access latency (ns)   |   17627.45 |        inf |        inf |        inf
  average dram queueing delay        |   17574.02 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     20.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |      67981 |      75087 |      75025 |      79935
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
